CROP,N,P,K,PH,RAINFALL,TEMP
DRAGON FRUIT,100,55,165,5.7,1050.0,32.0
DRAGON FRUIT,100,60,160,6.5,900.0,32.0
DRAGON FRUIT,90,30,160,6.4,900.0,31.0
DRAGON FRUIT,80,40,150,6.0,800.0,30.0
DRAGON FRUIT,80,45,150,6.0,800.0,34.0
DRAGON FRUIT,120,50,170,5.8,950.0,28.0
DRAGON FRUIT,85,45,155,6.3,920.0,30.0
DRAGON FRUIT,110,55,180,5.9,1000.0,29.0
DRAGON FRUIT,70,45,140,6.2,850.0,33.0
DRAGON FRUIT,50,40,130,6.1,750.0,27.0
ALOE VERA,65,18,32,7.6,360.0,20.0
ALOE VERA,62,16,31,7.5,355.0,19.0
ALOE VERA,55,12,28,7.4,340.0,17.0
ALOE VERA,60,15,30,7.5,350.0,18.0
ALOE VERA,60,15,30,7.5,350.0,18.0
AMARANTH (RAJGIRA),65,38,55,6.2,550.0,24.0
AMARANTH (RAJGIRA),64,37,54,6.8,540.0,24.0
AMARANTH (RAJGIRA),62,36,52,6.4,520.0,23.0
AMARANTH (RAJGIRA),60,35,50,6.0,500.0,22.0
AMARANTH (RAJGIRA),68,40,58,6.6,580.0,25.0
ASHWAGANDHA,50,20,58,6.6,820.0,22.0
ASHWAGANDHA,45,18,55,6.5,800.0,20.0
ASHWAGANDHA,42,16,52,6.4,780.0,19.0
ASHWAGANDHA,45,18,55,6.5,800.0,20.0
ASHWAGANDHA,48,19,57,6.5,810.0,21.0
ASPARAGUS,110,65,95,6.8,850.0,20.0
ASPARAGUS,108,64,94,6.7,830.0,18.0
ASPARAGUS,105,62,92,6.6,820.0,19.0
ASPARAGUS,100,60,90,6.5,800.0,18.0
ASPARAGUS,115,68,98,7.0,870.0,21.0
AVOCADO,75,40,100,6.0,1000.0,25.0
AVOCADO,90,40,100,6.0,1000.0,25.0
AVOCADO,80,40,100,6.0,1000.0,25.0
AVOCADO,70,40,100,6.0,1000.0,25.0
AVOCADO,85,40,100,6.0,1000.0,25.0
BAMBOO,160,45,130,6.6,2100.0,26.0
BAMBOO,150,40,120,6.5,2000.0,25.0
BAMBOO,140,35,110,6.4,1900.0,24.0
BAMBOO,150,40,120,6.5,2000.0,25.0
BAMBOO,155,50,135,6.5,2150.0,27.0
BARNYARD MILLET,50,32,42,5.8,550.0,26.0
BARNYARD MILLET,49,31,43,6.5,540.0,26.0
BARNYARD MILLET,47,30,40,6.0,520.0,25.0
BARNYARD MILLET,45,28,38,5.5,500.0,24.0
BARNYARD MILLET,53,34,46,6.3,580.0,27.0
BLUEBERRY,80,35,45,4.8,1300.0,22.0
BLUEBERRY,90,40,50,4.9,1150.0,24.0
BLUEBERRY,75,32,42,5.0,1100.0,21.0
BLUEBERRY,70,30,40,4.5,1200.0,20.0
BLUEBERRY,85,38,48,4.6,1250.0,23.0
BROCCOLI,160,65,110,6.5,850.0,20.0
BROCCOLI,158,62,108,6.4,830.0,18.0
BROCCOLI,155,63,105,6.3,820.0,19.0
BROCCOLI,150,60,100,6.2,800.0,18.0
BROCCOLI,165,68,115,6.7,870.0,21.0
BRUSSELS SPROUTS,130,55,110,6.8,850.0,20.0
BRUSSELS SPROUTS,128,54,108,6.7,830.0,18.0
BRUSSELS SPROUTS,125,52,105,6.6,820.0,19.0
BRUSSELS SPROUTS,120,50,100,6.5,800.0,18.0
BRUSSELS SPROUTS,135,58,115,7.0,870.0,21.0
BUCKWHEAT,55,35,45,6.2,650.0,22.0
BUCKWHEAT,54,34,44,6.8,640.0,22.0
BUCKWHEAT,52,32,42,6.4,620.0,21.0
BUCKWHEAT,50,30,40,6.0,600.0,20.0
BUCKWHEAT,58,38,48,6.6,680.0,23.0
CAPSICUM (COLORED BELL PEPPERS),110,65,95,6.8,850.0,26.0
CAPSICUM (COLORED BELL PEPPERS),108,64,94,6.7,830.0,24.0
CAPSICUM (COLORED BELL PEPPERS),105,62,92,6.6,820.0,25.0
CAPSICUM (COLORED BELL PEPPERS),100,60,90,6.5,800.0,24.0
CAPSICUM (COLORED BELL PEPPERS),115,68,98,7.0,870.0,27.0
CASTOR,100,45,115,7.1,820.0,22.0
CASTOR,95,40,110,7.0,800.0,20.0
CASTOR,90,38,105,7.0,780.0,19.0
CASTOR,95,40,110,7.0,800.0,20.0
CASTOR,98,42,110,7.0,800.0,20.0
CELERY,210,155,610,6.2,850.0,20.0
CELERY,208,154,608,6.8,830.0,18.0
CELERY,205,152,605,6.4,820.0,19.0
CELERY,200,150,600,6.0,800.0,18.0
CELERY,215,158,615,6.6,870.0,21.0
CHERRY TOMATOES,100,65,100,6.8,850.0,24.0
CHERRY TOMATOES,98,64,98,6.7,830.0,22.0
